Transaction_ID,Date,Time,Outlet,Category,Product_Name,Quantity_Sold,Unit_Price_RM,Total_Revenue_RM,Payment_Method,Weather_Condition
TXN-1039,2026-02-01,15:44,Putrajaya,Espresso-based,Espresso,2,7.0,14.0,Cash,Sunny
TXN-1131,2026-02-01,15:54,Puncak Alam,Milk-based,Cappuccino,2,11.0,22.0,QR,Sunny
TXN-1008,2026-02-01,15:57,Putrajaya,Milk-based,Mocha,2,12.0,24.0,QR,Sunny
TXN-1030,2026-02-01,16:02,Putrajaya,Espresso-based,Americano,1,9.0,9.0,QR,Sunny
TXN-1100,2026-02-01,16:05,Puncak Alam,Milk-based,Cappuccino,2,11.0,22.0,QR,Sunny
TXN-1034,2026-02-01,16:10,Putrajaya,Milk-based,Caramel Macchiato,1,13.0,13.0,Cash,Sunny
TXN-1084,2026-02-01,16:12,Puncak Alam,Milk-based,Cappuccino,1,11.0,11.0,Cash,Sunny
TXN-1061,2026-02-01,16:15,Putrajaya,Milk-based,Cappuccino,2,11.0,22.0,QR,Sunny
TXN-1102,2026-02-01,16:15,Puncak Alam,Espresso-based,Espresso,2,7.0,14.0,QR,Sunny
TXN-1053,2026-02-01,16:17,Putrajaya,Espresso-based,Americano,1,9.0,9.0,QR,Sunny
TXN-1074,2026-02-01,16:24,Puncak Alam,Milk-based,Caramel Macchiato,1,13.0,13.0,QR,Sunny
TXN-1065,2026-02-01,16:25,Puncak Alam,Milk-based,Caramel Macchiato,2,13.0,26.0,QR,Sunny
TXN-1062,2026-02-01,16:34,Putrajaya,Espresso-based,Americano,1,9.0,9.0,QR,Sunny
TXN-1112,2026-02-01,16:51,Puncak Alam,Milk-based,Latte,2,11.0,22.0,QR,Sunny
TXN-1086,2026-02-01,16:53,Puncak Alam,Espresso-based,Americano,1,9.0,9.0,Cash,Sunny
TXN-1000,2026-02-01,16:56,Putrajaya,Milk-based,Mocha,1,12.0,12.0,QR,Sunny
TXN-1069,2026-02-01,17:12,Puncak Alam,Espresso-based,Espresso,1,7.0,7.0,QR,Sunny
TXN-1040,2026-02-01,17:14,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14.0,14.0,QR,Sunny
TXN-1023,2026-02-01,17:18,Putrajaya,Espresso-based,Espresso,1,7.0,7.0,QR,Sunny
TXN-1116,2026-02-01,17:29,Puncak Alam,Milk-based,Mocha,1,12.0,12.0,Cash,Sunny
TXN-1046,2026-02-01,17:30,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14.0,14.0,QR,Sunny
TXN-1007,2026-02-01,17:33,Putrajaya,Milk-based,Caramel Macchiato,1,13.0,13.0,QR,Sunny
TXN-1003,2026-02-01,17:38,Putrajaya,Milk-based,Mocha,2,12.0,24.0,QR,Sunny
TXN-1021,2026-02-01,17:45,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14.0,14.0,Cash,Sunny
TXN-1016,2026-02-01,17:46,Putrajaya,Milk-based,Latte,1,11.0,11.0,QR,Sunny
TXN-1106,2026-02-01,17:47,Puncak Alam,Espresso-based,Americano,1,9.0,9.0,Cash,Sunny
TXN-1094,2026-02-01,17:53,Puncak Alam,Milk-based,Mocha,1,12.0,12.0,QR,Sunny
TXN-1054,2026-02-01,18:18,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14.0,14.0,QR,Sunny
TXN-1127,2026-02-01,18:40,Puncak Alam,Espresso-based,Americano,2,9.0,18.0,QR,Sunny
TXN-1088,2026-02-01,18:41,Puncak Alam,Milk-based,Mocha,1,12.0,12.0,QR,Sunny
TXN-1019,2026-02-01,18:47,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,3,14.0,42.0,QR,Sunny
TXN-1043,2026-02-01,18:48,Putrajaya,Milk-based,Cappuccino,1,11.0,11.0,Cash,Sunny
TXN-1124,2026-02-01,18:53,Puncak Alam,Milk-based,Latte,1,11.0,11.0,QR,Sunny
TXN-1081,2026-02-01,18:54,Puncak Alam,Milk-based,Mocha,2,12.0,24.0,QR,Sunny
TXN-1014,2026-02-01,19:01,Putrajaya,Espresso-based,Espresso,1,7.0,7.0,QR,Sunny
TXN-1097,2026-02-01,19:06,Puncak Alam,Espresso-based,Espresso,1,7.0,7.0,Cash,Sunny
TXN-1105,2026-02-01,19:18,Puncak Alam,Milk-based,Cappuccino,1,11.0,11.0,QR,Sunny
TXN-1115,2026-02-01,19:46,Puncak Alam,Milk-based,Cappuccino,1,11.0,11.0,QR,Sunny
TXN-1133,2026-02-01,19:47,Puncak Alam,Espresso-based,Americano,1,9.0,9.0,QR,Sunny
TXN-1114,2026-02-01,19:57,Puncak Alam,Espresso-based,Espresso,2,7.0,14.0,QR,Sunny
TXN-1068,2026-02-01,20:04,Puncak Alam,Espresso-based,Espresso,1,7.0,7.0,Cash,Sunny
TXN-1098,2026-02-01,20:05,Puncak Alam,Espresso-based,Americano,1,9.0,9.0,Cash,Sunny
TXN-1072,2026-02-01,20:07,Puncak Alam,Espresso-based,Espresso,1,7.0,7.0,QR,Sunny
TXN-1004,2026-02-01,20:08,Putrajaya,Milk-based,Caramel Macchiato,2,13.0,26.0,QR,Sunny
TXN-1067,2026-02-01,20:14,Puncak Alam,Ice Blended,Ice Blended Chocolate Chip,2,14.0,28.0,QR,Sunny
TXN-1055,2026-02-01,20:15,Putrajaya,Milk-based,Mocha,1,12.0,12.0,Cash,Sunny
TXN-1130,2026-02-01,20:25,Puncak Alam,Espresso-based,Americano,1,9.0,9.0,QR,Sunny
TXN-1027,2026-02-01,20:40,Putrajaya,Milk-based,Cappuccino,1,11.0,11.0,QR,Sunny
TXN-1089,2026-02-01,20:40,Puncak Alam,Milk-based,Mocha,1,12.0,12.0,QR,Sunny
TXN-1066,2026-02-01,20:43,Puncak Alam,Milk-based,Cappuccino,2,11.0,22.0,QR,Sunny
TXN-1113,2026-02-01,20:45,Puncak Alam,Milk-based,Caramel Macchiato,1,13.0,13.0,QR,Sunny
TXN-1104,2026-02-01,20:47,Puncak Alam,Espresso-based,Espresso,1,7.0,7.0,Cash,Sunny
TXN-1029,2026-02-01,20:50,Putrajaya,Milk-based,Mocha,1,12.0,12.0,QR,Sunny
TXN-1060,2026-02-01,20:59,Putrajaya,Espresso-based,Americano,2,9.0,18.0,Cash,Sunny
TXN-1022,2026-02-01,21:21,Putrajaya,Milk-based,Mocha,2,12.0,24.0,QR,Sunny
TXN-1085,2026-02-01,21:45,Puncak Alam,Milk-based,Latte,3,11.0,33.0,Cash,Sunny
TXN-1122,2026-02-01,21:46,Puncak Alam,Milk-based,Cappuccino,1,11.0,11.0,QR,Sunny
TXN-1070,2026-02-01,21:54,Puncak Alam,Milk-based,Mocha,2,12.0,24.0,QR,Sunny
TXN-1118,2026-02-01,21:57,Puncak Alam,Espresso-based,Americano,2,9.0,18.0,Cash,Sunny
TXN-1123,2026-02-01,21:58,Puncak Alam,Milk-based,Latte,2,11.0,22.0,QR,Sunny
TXN-1025,2026-02-01,21:59,Putrajaya,Milk-based,Latte,1,11.0,11.0,Cash,Sunny
TXN-1174,2026-02-02,08:19,Putrajaya,Espresso-based,Americano,1,9.0,9.0,QR,Raining
TXN-1203,2026-02-02,08:25,Puncak Alam,Milk-based,Cappuccino,1,11.0,11.0,Cash,Raining
TXN-1144,2026-02-02,08:52,Putrajaya,Espresso-based,Americano,1,9.0,9.0,Cash,Raining
TXN-1167,2026-02-02,09:01,Putrajaya,Milk-based,Latte,2,11.0,22.0,Cash,Raining
TXN-1154,2026-02-02,09:16,Putrajaya,Milk-based,Caramel Macchiato,1,13.0,13.0,QR,Raining
TXN-1186,2026-02-02,09:19,Puncak Alam,Espresso-based,Espresso,1,7.0,7.0,Cash,Raining
TXN-1139,2026-02-02,09:29,Putrajaya,Espresso-based,Americano,1,9.0,9.0,QR,Raining
TXN-1188,2026-02-02,09:41,Puncak Alam,Espresso-based,Espresso,1,7.0,7.0,Cash,Raining
TXN-1197,2026-02-02,09:52,Puncak Alam,Milk-based,Mocha,1,12.0,12.0,QR,Raining
TXN-1140,2026-02-02,10:01,Putrajaya,Milk-based,Caramel Macchiato,2,13.0,26.0,QR,Raining
TXN-1138,2026-02-02,10:20,Putrajaya,Milk-based,Mocha,2,12.0,24.0,Cash,Raining
TXN-1202,2026-02-02,10:20,Puncak Alam,Milk-based,Caramel Macchiato,1,13.0,13.0,QR,Raining
TXN-1155,2026-02-02,10:31,Putrajaya,Milk-based,Caramel Macchiato,1,13.0,13.0,QR,Raining
TXN-1180,2026-02-02,10:44,Puncak Alam,Milk-based,Cappuccino,2,11.0,22.0,Cash,Raining
TXN-1161,2026-02-02,10:56,Putrajaya,Milk-based,Caramel Macchiato,1,13.0,13.0,QR,Raining
TXN-1193,2026-02-02,11:19,Puncak Alam,Milk-based,Latte,1,11.0,11.0,QR,Raining
TXN-1152,2026-02-02,11:25,Putrajaya,Milk-based,Mocha,1,12.0,12.0,QR,Raining
TXN-1189,2026-02-02,11:36,Puncak Alam,Milk-based,Latte,1,11.0,11.0,Cash,Raining
TXN-1165,2026-02-02,11:52,Putrajaya,Milk-based,Latte,1,11.0,11.0,QR,Raining
TXN-1181,2026-02-02,11:57,Puncak Alam,Ice Blended,Ice Blended Chocolate Chip,1,14.0,14.0,Cash,Raining
TXN-1177,2026-02-02,11:59,Puncak Alam,Milk-based,Latte,1,11.0,11.0,QR,Raining
TXN-1141,2026-02-02,12:04,Putrajaya,Milk-based,Cappuccino,1,11.0,11.0,QR,Raining
TXN-1176,2026-02-02,12:32,Puncak Alam,Milk-based,Latte,1,11.0,11.0,QR,Raining
TXN-1182,2026-02-02,12:38,Puncak Alam,Milk-based,Mocha,1,12.0,12.0,QR,Raining
TXN-1192,2026-02-02,13:03,Puncak Alam,Milk-based,Caramel Macchiato,3,13.0,39.0,Cash,Raining
TXN-1199,2026-02-02,13:11,Puncak Alam,Ice Blended,Ice Blended Chocolate Chip,2,14.0,28.0,QR,Raining
TXN-1158,2026-02-02,13:31,Putrajaya,Milk-based,Cappuccino,1,11.0,11.0,QR,Raining
TXN-1136,2026-02-02,13:32,Putrajaya,Milk-based,Latte,2,11.0,22.0,QR,Raining
TXN-1196,2026-02-02,13:46,Puncak Alam,Milk-based,Latte,1,11.0,11.0,Cash,Raining
TXN-1191,2026-02-02,13:50,Puncak Alam,Milk-based,Latte,1,11.0,11.0,QR,Raining
TXN-1150,2026-02-02,13:54,Putrajaya,Milk-based,Cappuccino,1,11.0,11.0,Cash,Raining
TXN-1179,2026-02-02,13:59,Puncak Alam,Milk-based,Latte,1,11.0,11.0,QR,Raining
TXN-1187,2026-02-02,14:11,Puncak Alam,Milk-based,Mocha,2,12.0,24.0,QR,Raining
TXN-1168,2026-02-02,14:40,Putrajaya,Espresso-based,Americano,1,9.0,9.0,Cash,Raining
TXN-1142,2026-02-02,14:50,Putrajaya,Milk-based,Latte,1,11.0,11.0,QR,Raining
TXN-1159,2026-02-02,14:55,Putrajaya,Milk-based,Latte,1,11.0,11.0,QR,Raining
TXN-1198,2026-02-02,15:02,Puncak Alam,Milk-based,Cappuccino,1,11.0,11.0,QR,Raining
TXN-1153,2026-02-02,15:13,Putrajaya,Espresso-based,Americano,1,9.0,9.0,QR,Raining
TXN-1164,2026-02-02,15:16,Putrajaya,Milk-based,Mocha,2,12.0,24.0,Cash,Raining
TXN-1171,2026-02-02,15:24,Putrajaya,Milk-based,Caramel Macchiato,1,13.0,13.0,Cash,Raining
TXN-1183,2026-02-02,16:01,Puncak Alam,Espresso-based,Americano,1,9.0,9.0,QR,Raining
TXN-1151,2026-02-02,16:14,Putrajaya,Milk-based,Cappuccino,3,11.0,33.0,QR,Raining
TXN-1185,2026-02-02,16:16,Puncak Alam,Ice Blended,Ice Blended Chocolate Chip,2,14.0,28.0,QR,Raining
TXN-1175,2026-02-02,16:18,Putrajaya,Milk-based,Mocha,1,12.0,12.0,QR,Raining
TXN-1166,2026-02-02,16:39,Putrajaya,Milk-based,Caramel Macchiato,1,13.0,13.0,Cash,Raining
TXN-1134,2026-02-02,16:49,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14.0,14.0,QR,Raining
TXN-1149,2026-02-02,16:51,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,2,14.0,28.0,Cash,Raining
TXN-1204,2026-02-02,16:55,Puncak Alam,Milk-based,Mocha,2,12.0,24.0,Cash,Raining
TXN-1162,2026-02-02,17:04,Putrajaya,Milk-based,Cappuccino,1,11.0,11.0,Cash,Raining
TXN-1205,2026-02-02,17:20,Puncak Alam,Ice Blended,Ice Blended Chocolate Chip,3,14.0,42.0,QR,Raining
TXN-1173,2026-02-02,17:25,Putrajaya,Espresso-based,Espresso,1,7.0,7.0,Cash,Raining
TXN-1157,2026-02-02,17:34,Putrajaya,Milk-based,Mocha,1,12.0,12.0,QR,Raining
TXN-1147,2026-02-02,17:40,Putrajaya,Espresso-based,Americano,2,9.0,18.0,QR,Raining
TXN-1200,2026-02-02,17:41,Puncak Alam,Espresso-based,Espresso,1,7.0,7.0,Cash,Raining
TXN-1156,2026-02-02,17:43,Putrajaya,Espresso-based,Espresso,1,7.0,7.0,QR,Raining
TXN-1194,2026-02-02,18:12,Puncak Alam,Espresso-based,Espresso,1,7.0,7.0,Cash,Raining
TXN-1195,2026-02-02,18:14,Puncak Alam,Milk-based,Latte,1,11.0,11.0,Cash,Raining
TXN-1172,2026-02-02,18:36,Putrajaya,Espresso-based,Americano,1,9.0,9.0,Cash,Raining
TXN-1201,2026-02-02,18:43,Puncak Alam,Milk-based,Latte,3,11.0,33.0,QR,Raining
TXN-1145,2026-02-02,18:50,Putrajaya,Espresso-based,Americano,2,9.0,18.0,Cash,Raining
TXN-1146,2026-02-02,18:58,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14.0,14.0,QR,Raining
TXN-1137,2026-02-02,19:11,Putrajaya,Espresso-based,Americano,1,9.0,9.0,Cash,Raining
TXN-1169,2026-02-02,19:15,Putrajaya,Milk-based,Cappuccino,2,11.0,22.0,QR,Raining
TXN-1135,2026-02-02,19:31,Putrajaya,Milk-based,Mocha,2,12.0,24.0,QR,Raining
TXN-1143,2026-02-02,19:57,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14.0,14.0,QR,Raining
TXN-1170,2026-02-02,20:22,Putrajaya,Milk-based,Mocha,2,12.0,24.0,QR,Raining
TXN-1160,2026-02-02,20:46,Putrajaya,Milk-based,Caramel Macchiato,1,13.0,13.0,QR,Raining
TXN-1148,2026-02-02,20:57,Putrajaya,Milk-based,Caramel Macchiato,2,13.0,26.0,QR,Raining
TXN-1178,2026-02-02,21:09,Puncak Alam,Milk-based,Latte,2,11.0,22.0,QR,Raining
TXN-1163,2026-02-02,21:13,Putrajaya,Milk-based,Cappuccino,1,11.0,11.0,QR,Raining
TXN-1184,2026-02-02,21:20,Puncak Alam,Milk-based,Cappuccino,1,11.0,11.0,Cash,Raining
TXN-1190,2026-02-02,21:24,Puncak Alam,Milk-based,Caramel Macchiato,3,13.0,39.0,QR,Raining
TXN-1312,2026-02-03,08:37,Puncak Alam,Milk-based,Mocha,1,12.0,12.0,QR,Sunny
TXN-1220,2026-02-03,08:53,Putrajaya,Milk-based,Caramel Macchiato,2,13.0,26.0,QR,Sunny
TXN-1293,2026-02-03,08:55,Puncak Alam,Espresso-based,Espresso,3,7.0,21.0,QR,Sunny
TXN-1216,2026-02-03,09:02,Putrajaya,Espresso-based,Americano,1,9.0,9.0,Cash,Sunny
TXN-1292,2026-02-03,09:07,Puncak Alam,Milk-based,Caramel Macchiato,1,13.0,13.0,QR,Sunny
TXN-1228,2026-02-03,09:09,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14.0,14.0,QR,Sunny
TXN-1225,2026-02-03,09:15,Putrajaya,Milk-based,Latte,1,11.0,11.0,QR,Sunny
TXN-1274,2026-02-03,09:20,Puncak Alam,Milk-based,Cappuccino,3,11.0,33.0,QR,Sunny
TXN-1250,2026-02-03,09:25,Putrajaya,Espresso-based,Espresso,2,7.0,14.0,QR,Sunny
TXN-1233,2026-02-03,09:26,Putrajaya,Milk-based,Caramel Macchiato,2,13.0,26.0,QR,Sunny
TXN-1305,2026-02-03,09:26,Puncak Alam,Espresso-based,Espresso,1,7.0,7.0,Cash,Sunny
TXN-1244,2026-02-03,09:37,Putrajaya,Milk-based,Latte,1,11.0,11.0,Cash,Sunny
TXN-1242,2026-02-03,09:39,Putrajaya,Milk-based,Latte,1,11.0,11.0,QR,Sunny
TXN-1252,2026-02-03,09:41,Putrajaya,Milk-based,Caramel Macchiato,1,13.0,13.0,Cash,Sunny
TXN-1213,2026-02-03,09:55,Putrajaya,Milk-based,Cappuccino,4,11.0,44.0,QR,Sunny
TXN-1248,2026-02-03,09:58,Putrajaya,Espresso-based,Americano,1,9.0,9.0,QR,Sunny
TXN-1256,2026-02-03,10:00,Putrajaya,Milk-based,Mocha,1,12.0,12.0,QR,Sunny
TXN-1280,2026-02-03,10:00,Puncak Alam,Espresso-based,Espresso,2,7.0,14.0,QR,Sunny
TXN-1301,2026-02-03,10:13,Puncak Alam,Espresso-based,Americano,1,9.0,9.0,QR,Sunny
TXN-1235,2026-02-03,10:29,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14.0,14.0,Cash,Sunny
TXN-1258,2026-02-03,10:32,Putrajaya,Espresso-based,Americano,3,9.0,27.0,QR,Sunny
TXN-1309,2026-02-03,10:33,Puncak Alam,Espresso-based,Espresso,3,7.0,21.0,QR,Sunny
TXN-1270,2026-02-03,11:10,Puncak Alam,Milk-based,Mocha,1,12.0,12.0,QR,Sunny
TXN-1308,2026-02-03,11:19,Puncak Alam,Espresso-based,Espresso,1,7.0,7.0,QR,Sunny
TXN-1264,2026-02-03,11:36,Putrajaya,Milk-based,Cappuccino,1,11.0,11.0,Cash,Sunny
TXN-1279,2026-02-03,11:40,Puncak Alam,Espresso-based,Americano,1,9.0,9.0,Cash,Sunny
TXN-1278,2026-02-03,11:42,Puncak Alam,Ice Blended,Ice Blended Chocolate Chip,1,14.0,14.0,QR,Sunny
TXN-1218,2026-02-03,11:52,Putrajaya,Espresso-based,Americano,2,9.0,18.0,QR,Sunny
TXN-1303,2026-02-03,12:05,Puncak Alam,Ice Blended,Ice Blended Chocolate Chip,2,14.0,28.0,QR,Sunny
TXN-1286,2026-02-03,12:06,Puncak Alam,Milk-based,Mocha,1,12.0,12.0,QR,Sunny
TXN-1257,2026-02-03,12:36,Putrajaya,Espresso-based,Americano,1,9.0,9.0,Cash,Sunny
TXN-1210,2026-02-03,12:37,Putrajaya,Milk-based,Latte,2,11.0,22.0,Cash,Sunny
TXN-1283,2026-02-03,12:37,Puncak Alam,Milk-based,Latte,2,11.0,22.0,Cash,Sunny
TXN-1249,2026-02-03,12:40,Putrajaya,Milk-based,Cappuccino,1,11.0,11.0,QR,Sunny
TXN-1229,2026-02-03,12:48,Putrajaya,Milk-based,Cappuccino,1,11.0,11.0,QR,Sunny
TXN-1245,2026-02-03,13:04,Putrajaya,Milk-based,Cappuccino,2,11.0,22.0,QR,Sunny
TXN-1282,2026-02-03,13:12,Puncak Alam,Milk-based,Cappuccino,1,11.0,11.0,QR,Sunny
