Transaction_ID,Date,Time,Outlet,Category,Product_Name,Quantity_Sold,Unit_Price_RM,Total_Revenue_RM,Payment_Method
TXN-1100,1/2/2026,16:05,Puncak Alam,Milk-based,Cappuccino,2,11,22,QR
TXN-1034,1/2/2026,16:10,Putrajaya,Milk-based,Caramel Macchiato,1,13,13,Cash
TXN-1084,1/2/2026,16:12,Puncak Alam,Milk-based,Cappuccino,1,11,11,Cash
TXN-1061,1/2/2026,16:15,Putrajaya,Milk-based,Cappuccino,2,11,22,QR
TXN-1102,1/2/2026,16:15,Puncak Alam,Espresso-based,Espresso,2,7,14,QR
TXN-1053,1/2/2026,16:17,Putrajaya,Espresso-based,Americano,1,9,9,QR
TXN-1074,1/2/2026,16:24,Puncak Alam,Milk-based,Caramel Macchiato,1,13,13,QR
TXN-1065,1/2/2026,16:25,Puncak Alam,Milk-based,Caramel Macchiato,2,13,26,QR
TXN-1062,1/2/2026,16:34,Putrajaya,Espresso-based,Americano,1,9,9,QR
TXN-1112,1/2/2026,16:51,Puncak Alam,Milk-based,Latte,2,11,22,QR
TXN-1086,1/2/2026,16:53,Puncak Alam,Espresso-based,Americano,1,9,9,Cash
TXN-1000,1/2/2026,16:56,Putrajaya,Milk-based,Mocha,1,12,12,QR
TXN-1069,1/2/2026,17:12,Puncak Alam,Espresso-based,Espresso,1,7,7,QR
TXN-1040,1/2/2026,17:14,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14,14,QR
TXN-1023,1/2/2026,17:18,Putrajaya,Espresso-based,Espresso,1,7,7,QR
TXN-1116,1/2/2026,17:29,Puncak Alam,Milk-based,Mocha,1,12,12,Cash
TXN-1046,1/2/2026,17:30,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14,14,QR
TXN-1007,1/2/2026,17:33,Putrajaya,Milk-based,Caramel Macchiato,1,13,13,QR
TXN-1003,1/2/2026,17:38,Putrajaya,Milk-based,Mocha,2,12,24,QR
TXN-1021,1/2/2026,17:45,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14,14,Cash
TXN-1016,1/2/2026,17:46,Putrajaya,Milk-based,Latte,1,11,11,QR
TXN-1106,1/2/2026,17:47,Puncak Alam,Espresso-based,Americano,1,9,9,Cash
TXN-1094,1/2/2026,17:53,Puncak Alam,Milk-based,Mocha,1,12,12,QR
TXN-1054,1/2/2026,18:18,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14,14,QR
TXN-1127,1/2/2026,18:40,Puncak Alam,Espresso-based,Americano,2,9,18,QR
TXN-1088,1/2/2026,18:41,Puncak Alam,Milk-based,Mocha,1,12,12,QR
TXN-1019,1/2/2026,18:47,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,3,14,42,QR
TXN-1043,1/2/2026,18:48,Putrajaya,Milk-based,Cappuccino,1,11,11,Cash
TXN-1124,1/2/2026,18:53,Puncak Alam,Milk-based,Latte,1,11,11,QR
TXN-1081,1/2/2026,18:54,Puncak Alam,Milk-based,Mocha,2,12,24,QR
TXN-1014,1/2/2026,19:01,Putrajaya,Espresso-based,Espresso,1,7,7,QR
TXN-1097,1/2/2026,19:06,Puncak Alam,Espresso-based,Espresso,1,7,7,Cash
TXN-1105,1/2/2026,19:18,Puncak Alam,Milk-based,Cappuccino,1,11,11,QR
TXN-1115,1/2/2026,19:46,Puncak Alam,Milk-based,Cappuccino,1,11,11,QR
TXN-1133,1/2/2026,19:47,Puncak Alam,Espresso-based,Americano,1,9,9,QR
TXN-1114,1/2/2026,19:57,Puncak Alam,Espresso-based,Espresso,2,7,14,QR
TXN-1068,1/2/2026,20:04,Puncak Alam,Espresso-based,Espresso,1,7,7,Cash
TXN-1098,1/2/2026,20:05,Puncak Alam,Espresso-based,Americano,1,9,9,Cash
TXN-1072,1/2/2026,20:07,Puncak Alam,Espresso-based,Espresso,1,7,7,QR
TXN-1004,1/2/2026,20:08,Putrajaya,Milk-based,Caramel Macchiato,2,13,26,QR
TXN-1067,1/2/2026,20:14,Puncak Alam,Ice Blended,Ice Blended Chocolate Chip,2,14,28,QR
TXN-1055,1/2/2026,20:15,Putrajaya,Milk-based,Mocha,1,12,12,Cash
TXN-1130,1/2/2026,20:25,Puncak Alam,Espresso-based,Americano,1,9,9,QR
TXN-1027,1/2/2026,20:40,Putrajaya,Milk-based,Cappuccino,1,11,11,QR
TXN-1089,1/2/2026,20:40,Puncak Alam,Milk-based,Mocha,1,12,12,QR
TXN-1066,1/2/2026,20:43,Puncak Alam,Milk-based,Cappuccino,2,11,22,QR
TXN-1113,1/2/2026,20:45,Puncak Alam,Milk-based,Caramel Macchiato,1,13,13,QR
TXN-1104,1/2/2026,20:47,Puncak Alam,Espresso-based,Espresso,1,7,7,Cash
TXN-1029,1/2/2026,20:50,Putrajaya,Milk-based,Mocha,1,12,12,QR
TXN-1060,1/2/2026,20:59,Putrajaya,Espresso-based,Americano,2,9,18,Cash
TXN-1022,1/2/2026,21:21,Putrajaya,Milk-based,Mocha,2,12,24,QR
TXN-1085,1/2/2026,21:45,Puncak Alam,Milk-based,Latte,3,11,33,Cash
TXN-1122,1/2/2026,21:46,Puncak Alam,Milk-based,Cappuccino,1,11,11,QR
TXN-1070,1/2/2026,21:54,Puncak Alam,Milk-based,Mocha,2,12,24,QR
TXN-1118,1/2/2026,21:57,Puncak Alam,Espresso-based,Americano,2,9,18,Cash
TXN-1123,1/2/2026,21:58,Puncak Alam,Milk-based,Latte,2,11,22,QR
TXN-1025,1/2/2026,21:59,Putrajaya,Milk-based,Latte,1,11,11,Cash
TXN-1174,2/2/2026,8:19,Putrajaya,Espresso-based,Americano,1,9,9,QR
TXN-1203,2/2/2026,8:25,Puncak Alam,Milk-based,Cappuccino,1,11,11,Cash
TXN-1144,2/2/2026,8:52,Putrajaya,Espresso-based,Americano,1,9,9,Cash
TXN-1167,2/2/2026,9:01,Putrajaya,Milk-based,Latte,2,11,22,Cash
TXN-1154,2/2/2026,9:16,Putrajaya,Milk-based,Caramel Macchiato,1,13,13,QR
TXN-1186,2/2/2026,9:19,Puncak Alam,Espresso-based,Espresso,1,7,7,Cash
TXN-1139,2/2/2026,9:29,Putrajaya,Espresso-based,Americano,1,9,9,QR
TXN-1188,2/2/2026,9:41,Puncak Alam,Espresso-based,Espresso,1,7,7,Cash
TXN-1197,2/2/2026,9:52,Puncak Alam,Milk-based,Mocha,1,12,12,QR
TXN-1140,2/2/2026,10:01,Putrajaya,Milk-based,Caramel Macchiato,2,13,26,QR
TXN-1138,2/2/2026,10:20,Putrajaya,Milk-based,Mocha,2,12,24,Cash
TXN-1202,2/2/2026,10:20,Puncak Alam,Milk-based,Caramel Macchiato,1,13,13,QR
TXN-1155,2/2/2026,10:31,Putrajaya,Milk-based,Caramel Macchiato,1,13,13,QR
TXN-1180,2/2/2026,10:44,Puncak Alam,Milk-based,Cappuccino,2,11,22,Cash
TXN-1161,2/2/2026,10:56,Putrajaya,Milk-based,Caramel Macchiato,1,13,13,QR
TXN-1193,2/2/2026,11:19,Puncak Alam,Milk-based,Latte,1,11,11,QR
TXN-1152,2/2/2026,11:25,Putrajaya,Milk-based,Mocha,1,12,12,QR
TXN-1189,2/2/2026,11:36,Puncak Alam,Milk-based,Latte,1,11,11,Cash
TXN-1165,2/2/2026,11:52,Putrajaya,Milk-based,Latte,1,11,11,QR
TXN-1181,2/2/2026,11:57,Puncak Alam,Ice Blended,Ice Blended Chocolate Chip,1,14,14,Cash
TXN-1177,2/2/2026,11:59,Puncak Alam,Milk-based,Latte,1,11,11,QR
TXN-1141,2/2/2026,12:04,Putrajaya,Milk-based,Cappuccino,1,11,11,QR
TXN-1176,2/2/2026,12:32,Puncak Alam,Milk-based,Latte,1,11,11,QR
TXN-1182,2/2/2026,12:38,Puncak Alam,Milk-based,Mocha,1,12,12,QR
TXN-1192,2/2/2026,13:03,Puncak Alam,Milk-based,Caramel Macchiato,3,13,39,Cash
TXN-1199,2/2/2026,13:11,Puncak Alam,Ice Blended,Ice Blended Chocolate Chip,2,14,28,QR
TXN-1158,2/2/2026,13:31,Putrajaya,Milk-based,Cappuccino,1,11,11,QR
TXN-1136,2/2/2026,13:32,Putrajaya,Milk-based,Latte,2,11,22,QR
TXN-1196,2/2/2026,13:46,Puncak Alam,Milk-based,Latte,1,11,11,Cash
TXN-1191,2/2/2026,13:50,Puncak Alam,Milk-based,Latte,1,11,11,QR
TXN-1150,2/2/2026,13:54,Putrajaya,Milk-based,Cappuccino,1,11,11,Cash
TXN-1179,2/2/2026,13:59,Puncak Alam,Milk-based,Latte,1,11,11,QR
TXN-1187,2/2/2026,14:11,Puncak Alam,Milk-based,Mocha,2,12,24,QR
TXN-1168,2/2/2026,14:40,Putrajaya,Espresso-based,Americano,1,9,9,Cash
TXN-1142,2/2/2026,14:50,Putrajaya,Milk-based,Latte,1,11,11,QR
TXN-1159,2/2/2026,14:55,Putrajaya,Milk-based,Latte,1,11,11,QR
TXN-1198,2/2/2026,15:02,Puncak Alam,Milk-based,Cappuccino,1,11,11,QR
TXN-1153,2/2/2026,15:13,Putrajaya,Espresso-based,Americano,1,9,9,QR
TXN-1164,2/2/2026,15:16,Putrajaya,Milk-based,Mocha,2,12,24,Cash
TXN-1171,2/2/2026,15:24,Putrajaya,Milk-based,Caramel Macchiato,1,13,13,Cash
TXN-1183,2/2/2026,16:01,Puncak Alam,Espresso-based,Americano,1,9,9,QR
TXN-1151,2/2/2026,16:14,Putrajaya,Milk-based,Cappuccino,3,11,33,QR
TXN-1185,2/2/2026,16:16,Puncak Alam,Ice Blended,Ice Blended Chocolate Chip,2,14,28,QR
TXN-1175,2/2/2026,16:18,Putrajaya,Milk-based,Mocha,1,12,12,QR
TXN-1166,2/2/2026,16:39,Putrajaya,Milk-based,Caramel Macchiato,1,13,13,Cash
TXN-1134,2/2/2026,16:49,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14,14,QR
TXN-1149,2/2/2026,16:51,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,2,14,28,Cash
TXN-1204,2/2/2026,16:55,Puncak Alam,Milk-based,Mocha,2,12,24,Cash
TXN-1162,2/2/2026,17:04,Putrajaya,Milk-based,Cappuccino,1,11,11,Cash
TXN-1205,2/2/2026,17:20,Puncak Alam,Ice Blended,Ice Blended Chocolate Chip,3,14,42,QR
TXN-1173,2/2/2026,17:25,Putrajaya,Espresso-based,Espresso,1,7,7,Cash
TXN-1157,2/2/2026,17:34,Putrajaya,Milk-based,Mocha,1,12,12,QR
TXN-1147,2/2/2026,17:40,Putrajaya,Espresso-based,Americano,2,9,18,QR
TXN-1200,2/2/2026,17:41,Puncak Alam,Espresso-based,Espresso,1,7,7,Cash
TXN-1156,2/2/2026,17:43,Putrajaya,Espresso-based,Espresso,1,7,7,QR
TXN-1194,2/2/2026,18:12,Puncak Alam,Espresso-based,Espresso,1,7,7,Cash
TXN-1195,2/2/2026,18:14,Puncak Alam,Milk-based,Latte,1,11,11,Cash
TXN-1172,2/2/2026,18:36,Putrajaya,Espresso-based,Americano,1,9,9,Cash
TXN-1201,2/2/2026,18:43,Puncak Alam,Milk-based,Latte,3,11,33,QR
TXN-1145,2/2/2026,18:50,Putrajaya,Espresso-based,Americano,2,9,18,Cash
TXN-1146,2/2/2026,18:58,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14,14,QR
TXN-1137,2/2/2026,19:11,Putrajaya,Espresso-based,Americano,1,9,9,Cash
TXN-1169,2/2/2026,19:15,Putrajaya,Milk-based,Cappuccino,2,11,22,QR
TXN-1135,2/2/2026,19:31,Putrajaya,Milk-based,Mocha,2,12,24,QR
TXN-1143,2/2/2026,19:57,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14,14,QR
TXN-1170,2/2/2026,20:22,Putrajaya,Milk-based,Mocha,2,12,24,QR
TXN-1160,2/2/2026,20:46,Putrajaya,Milk-based,Caramel Macchiato,1,13,13,QR
TXN-1148,2/2/2026,20:57,Putrajaya,Milk-based,Caramel Macchiato,2,13,26,QR
TXN-1178,2/2/2026,21:09,Puncak Alam,Milk-based,Latte,2,11,22,QR
TXN-1163,2/2/2026,21:13,Putrajaya,Milk-based,Cappuccino,1,11,11,QR
TXN-1184,2/2/2026,21:20,Puncak Alam,Milk-based,Cappuccino,1,11,11,Cash
TXN-1190,2/2/2026,21:24,Puncak Alam,Milk-based,Caramel Macchiato,3,13,39,QR
TXN-1312,3/2/2026,8:37,Puncak Alam,Milk-based,Mocha,1,12,12,QR
TXN-1220,3/2/2026,8:53,Putrajaya,Milk-based,Caramel Macchiato,2,13,26,QR
TXN-1293,3/2/2026,8:55,Puncak Alam,Espresso-based,Espresso,3,7,21,QR
TXN-1216,3/2/2026,9:02,Putrajaya,Espresso-based,Americano,1,9,9,Cash
TXN-1292,3/2/2026,9:07,Puncak Alam,Milk-based,Caramel Macchiato,1,13,13,QR
TXN-1228,3/2/2026,9:09,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14,14,QR
TXN-1225,3/2/2026,9:15,Putrajaya,Milk-based,Latte,1,11,11,QR
TXN-1274,3/2/2026,9:20,Puncak Alam,Milk-based,Cappuccino,3,11,33,QR
TXN-1250,3/2/2026,9:25,Putrajaya,Espresso-based,Espresso,2,7,14,QR
TXN-1233,3/2/2026,9:26,Putrajaya,Milk-based,Caramel Macchiato,2,13,26,QR
TXN-1305,3/2/2026,9:26,Puncak Alam,Espresso-based,Espresso,1,7,7,Cash
TXN-1244,3/2/2026,9:37,Putrajaya,Milk-based,Latte,1,11,11,Cash
TXN-1242,3/2/2026,9:39,Putrajaya,Milk-based,Latte,1,11,11,QR
TXN-1252,3/2/2026,9:41,Putrajaya,Milk-based,Caramel Macchiato,1,13,13,Cash
TXN-1213,3/2/2026,9:55,Putrajaya,Milk-based,Cappuccino,4,11,44,QR
TXN-1248,3/2/2026,9:58,Putrajaya,Espresso-based,Americano,1,9,9,QR
TXN-1256,3/2/2026,10:00,Putrajaya,Milk-based,Mocha,1,12,12,QR
TXN-1280,3/2/2026,10:00,Puncak Alam,Espresso-based,Espresso,2,7,14,QR
TXN-1301,3/2/2026,10:13,Puncak Alam,Espresso-based,Americano,1,9,9,QR
TXN-1235,3/2/2026,10:29,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14,14,Cash
TXN-1258,3/2/2026,10:32,Putrajaya,Espresso-based,Americano,3,9,27,QR
TXN-1309,3/2/2026,10:33,Puncak Alam,Espresso-based,Espresso,3,7,21,QR
TXN-1270,3/2/2026,11:10,Puncak Alam,Milk-based,Mocha,1,12,12,QR
TXN-1308,3/2/2026,11:19,Puncak Alam,Espresso-based,Espresso,1,7,7,QR
TXN-1264,3/2/2026,11:36,Putrajaya,Milk-based,Cappuccino,1,11,11,Cash
TXN-1279,3/2/2026,11:40,Puncak Alam,Espresso-based,Americano,1,9,9,Cash
TXN-1278,3/2/2026,11:42,Puncak Alam,Ice Blended,Ice Blended Chocolate Chip,1,14,14,QR
TXN-1218,3/2/2026,11:52,Putrajaya,Espresso-based,Americano,2,9,18,QR
TXN-1303,3/2/2026,12:05,Puncak Alam,Ice Blended,Ice Blended Chocolate Chip,2,14,28,QR
TXN-1286,3/2/2026,12:06,Puncak Alam,Milk-based,Mocha,1,12,12,QR
TXN-1257,3/2/2026,12:36,Putrajaya,Espresso-based,Americano,1,9,9,Cash
TXN-1210,3/2/2026,12:37,Putrajaya,Milk-based,Latte,2,11,22,Cash
TXN-1283,3/2/2026,12:37,Puncak Alam,Milk-based,Latte,2,11,22,Cash
TXN-1249,3/2/2026,12:40,Putrajaya,Milk-based,Cappuccino,1,11,11,QR
TXN-1229,3/2/2026,12:48,Putrajaya,Milk-based,Cappuccino,1,11,11,QR
TXN-1245,3/2/2026,13:04,Putrajaya,Milk-based,Cappuccino,2,11,22,QR
TXN-1282,3/2/2026,13:12,Puncak Alam,Milk-based,Cappuccino,1,11,11,QR
TXN-1247,3/2/2026,13:14,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14,14,QR
TXN-1261,3/2/2026,13:19,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,2,14,28,Cash
TXN-1239,3/2/2026,13:24,Putrajaya,Espresso-based,Americano,1,9,9,QR
TXN-1260,3/2/2026,13:32,Putrajaya,Espresso-based,Americano,1,9,9,Cash
TXN-1240,3/2/2026,13:58,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14,14,QR
TXN-1294,3/2/2026,14:13,Puncak Alam,Milk-based,Latte,1,11,11,QR
TXN-1211,3/2/2026,14:16,Putrajaya,Espresso-based,Espresso,1,7,7,QR
TXN-1236,3/2/2026,14:29,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14,14,QR
TXN-1234,3/2/2026,14:35,Putrajaya,Espresso-based,Americano,1,9,9,QR
TXN-1209,3/2/2026,14:45,Putrajaya,Milk-based,Cappuccino,1,11,11,QR
TXN-1296,3/2/2026,14:45,Puncak Alam,Espresso-based,Espresso,1,7,7,QR
TXN-1243,3/2/2026,14:50,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,2,14,28,QR
TXN-1262,3/2/2026,14:54,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14,14,QR
TXN-1310,3/2/2026,15:02,Puncak Alam,Ice Blended,Ice Blended Chocolate Chip,1,14,14,Cash
TXN-1288,3/2/2026,15:14,Puncak Alam,Ice Blended,Ice Blended Chocolate Chip,1,14,14,QR
TXN-1238,3/2/2026,15:33,Putrajaya,Milk-based,Mocha,2,12,24,Cash
TXN-1246,3/2/2026,15:41,Putrajaya,Espresso-based,Americano,2,9,18,Cash
TXN-1263,3/2/2026,15:47,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,2,14,28,QR
TXN-1267,3/2/2026,15:50,Putrajaya,Milk-based,Latte,1,11,11,QR
TXN-1237,3/2/2026,15:54,Putrajaya,Espresso-based,Espresso,1,7,7,QR
TXN-1253,3/2/2026,16:15,Putrajaya,Milk-based,Cappuccino,1,11,11,QR
TXN-1307,3/2/2026,16:26,Puncak Alam,Milk-based,Cappuccino,1,11,11,QR
TXN-1222,3/2/2026,16:47,Putrajaya,Milk-based,Mocha,1,12,12,QR
TXN-1219,3/2/2026,16:49,Putrajaya,Milk-based,Mocha,1,12,12,QR
TXN-1271,3/2/2026,16:49,Puncak Alam,Milk-based,Latte,2,11,22,Cash
TXN-1287,3/2/2026,17:08,Puncak Alam,Milk-based,Latte,1,11,11,QR
TXN-1227,3/2/2026,17:16,Putrajaya,Milk-based,Mocha,3,12,36,QR
TXN-1206,3/2/2026,17:17,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14,14,QR
TXN-1223,3/2/2026,17:34,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14,14,QR
TXN-1291,3/2/2026,17:37,Puncak Alam,Espresso-based,Espresso,1,7,7,QR
TXN-1230,3/2/2026,17:48,Putrajaya,Milk-based,Mocha,3,12,36,QR
TXN-1231,3/2/2026,17:49,Putrajaya,Espresso-based,Americano,1,9,9,QR
TXN-1276,3/2/2026,17:51,Puncak Alam,Ice Blended,Ice Blended Chocolate Chip,1,14,14,QR
TXN-1304,3/2/2026,17:57,Puncak Alam,Milk-based,Latte,1,11,11,Cash
TXN-1232,3/2/2026,18:05,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14,14,QR
TXN-1268,3/2/2026,18:07,Putrajaya,Milk-based,Latte,4,11,44,Cash
TXN-1255,3/2/2026,18:15,Putrajaya,Milk-based,Latte,1,11,11,Cash
TXN-1221,3/2/2026,18:20,Putrajaya,Milk-based,Latte,1,11,11,Cash
TXN-1290,3/2/2026,18:33,Puncak Alam,Milk-based,Mocha,1,12,12,QR
TXN-1275,3/2/2026,18:36,Puncak Alam,Milk-based,Mocha,2,12,24,Cash
TXN-1300,3/2/2026,18:41,Puncak Alam,Espresso-based,Espresso,1,7,7,QR
TXN-1266,3/2/2026,18:48,Putrajaya,Milk-based,Mocha,1,12,12,QR
TXN-1289,3/2/2026,19:01,Puncak Alam,Milk-based,Cappuccino,1,11,11,Cash
TXN-1254,3/2/2026,19:09,Putrajaya,Milk-based,Caramel Macchiato,2,13,26,QR
